,link,title,description,category
17,EQQ8qprmtZY,"Virgen de los Desamparados - Morning Procession, Valencia 2019","The very last second last Sunday I decided to run out and do watch the morning procession of the Virgen de los Desamparados, the most important religious figure of Valencia. Thankfully I know all the little streets to cut through to make it on time and claim a perfect spot between the Plaza del Virgen and the main entrance of the Cathedral, where the virgin figure will be transported to from the Basilica.

It's pretty intense, because it gets very crowded, especially where I was standing. And on top of it, parents are trying to toss toddlers against the Virgin, check out the twins at the end of the video, it's pretty wild!!!

Read all about these festivities of the Virgen de los Desamparados on our Valencia Travel Blog: 



Filmed with this camera: ",travel
18,Gpdpj5nruAA,"Tamale Traditional Dance Group - Ghana, Africa","If you're in Tamale, you can see some West African Dance and Drumming at the Tamale Cultural Center on most weekdays around 4 or 5 pm. There is a group meeting on these days for practice and visitors are welcome to watch and to enjoy the performance.

And if you're got some rhythm in your blood you might can join them after the practice :) But we weren't one of them. We walked into the group by chance. We heard some drumming from the main street and followed the sound.

We're going to write about this Traditional Dance and Drumming Group soon on our Ghana Travel Blog: 



This video was filmed with this camera: ",travel
19,dyoe0NeIIO,The Pottery Village of Kukuo - This Time The Correct Village In Tamale - Ghana,"After we went to the totally wrong village which was also called Kukuo we finally made it to the correct village in Tamale where they produce ceramics and pottery. Here is a drone video of the wrong Kukuo: 



But this time we made it to the right village. We knew right away when we got out of the yellow yellow that this was the place to be to see Ghanaian pottery being made. There were two ladies, at first they were very skeptical but after we explained that we were interested in the pottery making process they invited is into their compound and took the time to show us everything. 

Also towards the end of the video, you can't miss that toddler being so tired, falling asleep while I was filming him.

We're going to write about the Kukuo pottery village soon on our Ghana Travel Blog :



This video was recorded with this camera: ",travel
20,23w2jGGM_YU,The New Dakpema / Chief Of Tamale - Street Celebrations And Gun Shots - Ghana,"We couldn't have planned this and it was just pure luck that we ran into the celebrations of the new Dakpema of Tamale. We were just finishing up our tour of the leather factory when we heard music, screams and gun shots. I would like to note at this point that these gunshots were the friendly kind.

People were running to the main street and encouraged us to come along. A small part inside wanted to run the other way BUT any concerns we had were gone once we saw the celebrations. Everyone was happy, dancing and then the new Dakpema / chief of Tamale showed up including his wife, his name is Fuseini Bawa. Things got a bit crazy, heheh. Wo got to see some interesting Northern Ghana rituals.

Read all about out new Dakpema of Tamale in an upcoming post on our Ghana Travel Blog: 



Filmed with this camera: ",travel
21,WpMP7AB59fM,,"Did you ever wonder how animal skin gets processed to silky smooth leather? Then you're watching the right video. We heard about Zongo, a neighborhood of Tamale, where the art of making leather was still being celebrated. After asking around a bit, we were led to this leather workshop. 

Sadly the video can't transmit all the interesting smells, was it pleasant, em no. But that's part of the process and we loved watching it. In this video you can see different stages of the leather workshop, not in the right order though but I kept there order in the same way we were shown around.

We're going to soon write a full and detailed article about the Tamale - Zongo leather workshop on our Ghana Travel Blog: 



This video was recorded with this camera:",travel
22,dtzk-pM8DJ,Tamale Drone Footage On The Day Of The New Dakpema - Ghana,"We were hunting down leather processing workshops south of Tamale's city center. I was just randomly flying the drone over this neighborhood when I spotted on my screen this procession. Nearby people told us, that today was the day of the celebrations of the new Dakpema of Tamale, WHICH IS A HUGE DEAL! And so rare since it only happens once the previous Chief / Dakpema dies. So I landed my drone right away and we ran over to the main street to watch the people pass buy. Without giving too much away, it was insane. But we're going to write more about it on our Ghana Travel Blog soon:



We used this drone to film: ",travel
23,nX2dQV29GAM,,"Previously we uploaded a drone video of the wrong Kukuo town, where we talked in the description how we ended up there. In case you missed you can watch the drone footage of the North Ghanaian Village here: 



We expected to arrive in a town where they do ceramics but this town, named the same didn't have anything like that. Once we realized we were totally wrong we made the best of it, met the villagers and asked if we could walk around to take some pictures.

We will will writing more in details soon about our visit to the this random village on our Ghana Travel Blog soon:



This video was filmed with this camera: 



Thank you for watching!",travel
24,KyqMtmcMm0,"Stroller Hoverboard Mom: Genius? Lazy? Irresponsible? Dangerous? City Of Arts And Sciences, Valencia","I'm not really in touch what parents do to make raising their kids easier but I've never seen a mom or a dad riding a hoverboard while pushing a stroller. When she zipped by me, I knew I had to do one thing .... get my camera out and start filming. 

So how do you feel about this? Do you think she's genius, lazy, irresponsible or is she even putting her kid into danger. For me it was just such a silly sight, especially since there was another person with her just walking. What was the whole point? Maybe it was because of a medical reason? 

What do you think about this parenting hack? Please leave a comment!

Very confused but in case you're a parent and wants to try it for yourself, here are some really nice hoverboards: 



This was video was recorded with this camera: ",travel
25,CaVx2zuqX0U,,"I was filming the Mascleta in honor of San Vicente Ferrer last Monday in slow motion and 4k and tried to sync it to Beethoven's 5th Symphony to create a different kind Mascleta video. It also shows what's actually happening during one since normally the explosions are too fast for the human eye.

And if you're still confused why anyone would shoot off a firework during daytime, you can read all about the Mascleta on our Valencia Travel Blog: 



This video was recorded with this camera: ",travel
26,z5hqQb72J,"Festivities San Vicente Ferrer + Mascleta - Valencia, Spain 2019","This video is the first video I shot with the Osmo Pocket in 4K and I'm pretty happy with the result. I need to get another video editing software though which also uses my graphic card for processing those big files. Also not too happy with the sound during the Mascleta firework when it got super loud :(

Here is a link to the [Osmo Pocket]() to check out the full specs: 



This video captures some of the festivities during the San Vicente Ferrer celebrations in Valencia. He's one of the city's patrons. The holiday is loaded with parades, music, theater, fireworks and of course Masclets. You can read all about this Valencian holiday on our [Valencia Travel Blog]().",travel
27,dLtWLKB0,"Vintage Firework San Vicente Ferrer, Valencia 2019 - Osmo Pocket Firework Problems / Sound","This weekend are the celebrations of San Vincente Ferrer und it wouldn't be Valencia if the festivities wouldn't include some fireworks. So last night in his honor there were firing up one of the vintage fireworks similar to the one we saw last summer: 



The execution wasn't as smooth as the previous firework of that kind we saw but it was still pretty fun.

This was also the first time for me to try out the DJI Osmo Pocket for a firework display. At the end of the video you can hear that the sound was not really good handled by Osmo. I think the problem there was that I had the audio balance set to auto and the camera couldn't really handle the extreme sounds. And I wasn't too happy with the auto exposure pushing up the ISO to very grainy levels. So next time I will film with a set exposure.

If you want to read more about San Vicente Ferrer, check out our Valencia Travel Blog: ",travel
28,4ano2ZbwVC,Drone Footage Small African Village: Kukuo Near Tamale - Ghana,"We set out in the morning to visit a ceramic village to watch how clay pots are being made but instead we ended up in this village, with no potteries. How did this happen? Well, it's kind of funny and you can soon read about it on our Ghana Travel Blog: 



Even though we ended up in the totally wrong place, we still had a blast. Villagers were baffled when we showed up. They loved of course when we told them that we were basically lost and in the wrong place. Made for a good laugh an instant bonding. 😅

This video was filmed with this drone: ",travel
29,LYOmXaUB4D8,Our First Impressions Of Tamale - Ghana - Sunset Mood,"After we arrived in Tamala via Africa World Airline from Kumasi via Accra we check into our hotel and then set out to explore a bit of the city center, see the market and some of mosques. The city was buzzing, it felt very lively. We then went to a roof top bar to watch the sun set over the city and for the bats to fly out for the night.

Read all about our time this amazing country on our Ghana Travel Blog: 



This video was filmed with this camera:",travel
30,X9I66fXrGiY,The Boabeng-Fiema Monkey Sanctuary In Ghana,"On our way to Ghana's coast we stopped by the Boabeng-Fiema Monkey Sanctuary. A small village where monkeys and humans live in harmony together. There we encountered Mona and Colobus Monkeys. The Monas were really human friendly and we got super close to them (thanks to a bribe or our two provided by our guide) but the Colobus Monkeys on the other hand weren't really shy but didn't care about humans at all.

In this video you can see us walking around the jungle and village, meeting many, many monkeys. And yes, we also encountered super cute baby monkeys. We hope this video brightens your day. Also check out the monkey cemetery at the end of the video!

We're going to be writing about the  Boabeng-Fiema Monkey Sanctuary soon on our Ghana Travel Blog: 



This video was filmed with this camera: ",travel
31,NpsGoZXy6I,The Incredible Zaina Lodge - Glamping And High End Safari Resort In Ghana,"Staying at the Zaina Lode at the Mole National was definitely one of the highlights of our time in Ghana. This resort is the first of its kind in Ghana, offering visitors a luxurious Safari experience. The main lodge is crafted in Ghanian tradition with infinity pool and restaurants and lounge areas overlooking the Savannah. You'll be staying in a luxurious tent with your own veranda where you can chill. From there you'll be able to spot many wild animals like elephants, monkeys and antelopes. 

Book your stay here: 

We will be soon publishing an article about the Zaina Lodge on our Ghana Travel Blog:  .

This video was recorded with this camera: .",travel
32,i92rTwXkFw4,Jeep Safari At the Mole National Park In Ghana - AFRICA,"On our second day at the Mole National Park in Northern Ghana we got up early to go on a Jeep Safari. This was a lot of fun too but the walking Safari we did the day before was hard to beat. Why? Well see for yourself in this video: 



During this safari it was a bit hard to spot animals since we were zipping by so fast but we got to see some wildlife and the highlight yet again were of course seeing elephants.

We were happy to go on this Jeep Safari but if you have to choose I would recommend doing the foot safari as described here: 



We're going to be writing about the jeep safari soon on our Ghana Travel Blog:



This video was filmed with this camera: ",travel
33,q_AltAajhu4,"The Wild Elephants Of Mole National Park - Safari By Foot - Ghana, Africa","First off, I want to apologize for this super jumpy and shaky footage for most part of the video. I normally film these days with the Osmo Pocket but it's not set up with a zoom lens, so for some clips I decided to film with my damaged zoom lens of my mirrorless camera, which has a broken stabilizer. I had it sent in to have it repaired but they sent it back still broken and it doesn't matter if I have stabilization turned off or on. 

Even though I'm a bit heartbroken about this footage, it was such an incredible experience to be that close to these wild elephants at the Mole National Park in Ghana and yes, we were walking through the Savanna by foot which made meeting the elephants more special and a bit terrifying.

We're soon going to write about the Mole Park Elephants on our Ghana Travel Blog soon: ",travel
34,21N1J5ZsdYA,Larabanga Mud Mosque - Walk Around - Unique Architecture Of West Africa,"Mud, Stone and Wood - this is all being used to build this unique mud mosque of Larabanga. There are several mud mosques in Ghana but this is claimed to be the oldest and most beautiful one.

You can't go inside unless you're muslim but they do have a replica room which reflects the inside of the original mosque but we had zero interest to see that.

One thing I would like to do when we're ever back in Ghana, is to seek out all the other mosques which are less frequently visited.

Read all about the Larabanga Mud Mosque in a soon to be published article on our Ghana Travel Blog:



This video was recorded with this camera:",travel
35,TwzHhILnsC0,Drone Footage of the Larabanga Mud Mosque In Ghana - Near Mole National Park,"There is zero doubt, the Larabanga Mud Mosque is such a beautiful, unique building and a must see when you're visiting Ghana. It honestly took our breath away when we saw it for the first time. But everything around it was such torture. It's a straight up tourist trap, it almost feels like you have to pay for breathing air when you're near the mosque. It was rather unpleasant but we weren't walking away without the material we came for. But we're going to talk about it more in an upcoming article on our Ghana Travel Blog: 



And believe me, I was not walking away from that mosque until I had all the material I came for after paying up like that :)

This video was recorded with this drone: ",travel
36,fm4yW1w3UQ,The Labyrinth Living Quarters Of Tengzug Before The Big Festival - Northern Ghana,"This was bizarre! We arrived at the secluded village of Tengzug, which is made made of interconnected living quarters and shrines, right before their big yearly festival. Most men had to be shirtless and we weren't allowed to visit the shrines because you're only supposed to enter there in the nude. So these areas were off limits, even though on regular, non festive days, you can enter as a visitors.

The first scene, we walked into, was a freshly slaughtered goat ... we're not going to post that video footage but giving sacrifices for the festival are a huge deal. It w as really a shame that we didn't schedule our visit to Tengzug a week later to see all the celebrations. But we loved meeting the Chief of Tengzug, right before we left.

We're going to write about the town of Tengzug soon on our Ghana Travel Blog: 



This video was recorded with this camera: ",travel
37,FE-1wUatohk,The Beautiful Rock Landscapes Of Bongo And Playing Drums On The Rocks - Ghana,"I say Bongo and you say Bongo Drums? Kind of, yes. But firstly the town of Bongo is know for their breathtaking, surrounding rock landscapes. But during our hike our guide took us to this giant rock and start beating it with small rocks at certain spots to generate drumming sounds. So maybe there is a connection after all? Are bongo drums from Bongo, Ghana? A quick online search reveals that Bongo Drums originated from Cuba. Interesting!!

Anyways, please enjoy this video of the amazing Bongo landscapes and towards the end of the video you can also see a small church group singing on top of a holy mountain which made the perfect background music while taking in the views.

We're going to write about the Bongo Rocks soon on our Ghana Travel Blog: 



This video was filmed with this camera: ",travel
38,BcoufUn3C50,Drone Footage: Bongo Rocky Landscapes - Northern Ghana,"From Bolgatanga we set out to visit the small town of Bongo just a few kilometers north of it. The main reason we went there was because of the rocky landscapes which just scream AFRICA. There we set out for a little but brutal hike in the mid day sun. We were sweating and very slow!

I don't know how it always works out like this, every time I set up my drone, even though we're in the middle of nowhere, local kids seem to sense it and come running!!!! Even if it's no in the air yet.

We will be soon writing about the Bongo Rocky Landscapes on our Ghana Travel Blog: 



This filmed this video with this drone:",travel
39,Hz2dPKLfv-A,"Paga Pia Palace - Living Quarters Laid Out Like a Labyrinth, Ghana","After we petted the crocodile at the Paga Pond see video here:

https://www.youtube.com/watch?v=698Kx...

we went over to the Paga Pia Palace, a large living compound for several families featuring some traditional architectural elements. The most impressive buildings where the grain silos and flat buildings which held the sleeping rooms and the roof was used to dry various grains and other food.

We were guided through the labyrinth of different paths through the compound. We really liked the decoration of the buildings but even more interesting to us where the way how they buried the deceased, straight down, under ground through a tiny hole. More about this soon via an article on our Ghana Travel Blog: 



This video was recorded with this camera: ",travel
40,698Kx2ndSQE,,"Just to mention one thing first, I didn't get close to that crocodile wading out of the Paga pond, lured out by the whistles of our guide and the chirping sound of the fowl.

I had my telephoto lens attached to my camera and stayed clear. Also I have to apologize for the jumping video footage. I dropped my zoom lens the same day I crashed my drone 2 years ago, but I think the jittery, jumps kind of underline how I felt inside.

After Mike was able to pet that beast, the crocodile got its treat and slowly moved into the pond again, right in time for me to fire up my drone to take some videos from above the crocodile pond:



No crocodile or human was harmed in this video.

We will write and publish a full article about our Paga Crocodile Pond visit soon, which will be available on our Ghana Travel Blog, there we will also explain why the people of Paga think the crocodiles are holy:



This video was recorded with this camera: 



Thank you so much for watching!",travel
41,q96apTECEx,,"There will be another video of Mike actually sitting on and petting this crocodile at the pond in Paga. I filmed this after the 101 with the crocodile season was over and the crocodile decided to go back into the pond for a swim.

Here is the video of Mike actually touching this guy: 



I would also like to draw your attention to the fishing men who decided to walk into the pond right behind the crocodile to throw out his fishing net into the pond. Visiting the crocodile pond was pretty wild. Also don't miss the full article on these wild crocodiles which will published soon on our Ghana Travel Blog:



This video was recorded with this drone:",travel
42,9K_GZOZhI80,A Walk Through The Wulugu Mud House In Northern Ghana - Natural Air Conditioning - Ghana Travel Blog,"After the drone video of the Wulugu Mud House: 

https://youtu.be/_SaWjJ8G1vs

We're now taking you inside this house built from mud and wood. Also please keep in mind, some of the footage is a bit shaky because some of the passage ways and rooms where tiny and me with my almost 2 meters had a hard time to squeeze through at time.

The moment you step inside you'll notice instantly that the temperature inside is much cooler than the outside. The mud house was built in a way creating this natural air conditioning, letting in cooler air while release hot air. I kind of never wanted to leave the inside again because I knew outside we had to sweat again at 40 plus celsius outside.

We're soon going to write about this the Wulugu Mud House in details on our Ghana Travel Blog: 



This video was recorded with this camera: ",travel
43,_SaWjJ8G1,,"We were so surprised to find the uniquely designed Wulugu Mud House on our way to Bolgatanga. We couldn't believe our eyes to see such marvel, basically in the middle of nowhere. An entire palace made out of mud and wood and it's built in a way which leads cold air in and hot air out, basically being cooled be a natural air conditioning.

There are so many more interesting facts about the Wulugu Mud House which we will write about it soon on our Ghana Tavel Blog: 



But I want to share one really cool thing about the mud house, the wall surrounding it, is in the shape of Ghana. Don't believe me? Well then see for yourself: 

This video was recorded with this drone: ",travel
44,COeFWNmsJI0,"Spinning Cotton, Cooking Shea Butter and Meeting The People Of North Ghana","If you're wondering where your Body Shop Shea Butter is coming from, then this is the answer: Your beloved Shea Butter comes from small West African villages like this one. The village was just at the outskirts of Tamale and was surrounded by Shea Nut Trees. We were lucky to see how they're boiling the pressed nuts to separate unwanted particles from the butter. 

That was interesting but even more though we loved watching this old lady spin cotton inside her adobe hut to a thread ,which will be then later be used to produce the traditional cloth item called Smock. 

If you're in Tamale and would love to do the same tour please leave a message int he comments, we can connect you with the people who organized it. All the profits of the tour go directly to the village itself.

We're soon going to write about it our visit to this village producing Shea Butter and Cotton on our Ghana Travel:



This video was recorded with this camera :",travel
45,RBzKCQxtvsE,Drone Footage Of A Craft Village Near Tamale - Shea Butter - Cotton and Pottery,"This was the last excursion we did during our week in Tamale. We organized a tour to see how shea butter was being made, cotton be spun and drones to be flown. Well, the last craft, I brought into the village 😅!

This village was very close to Tamale and a bit bigger than than the first village we visited. People there were very used to foreigners coming for a visit, since they're part of a program to bring visitors and villagers closer together. Proceeds of these tours go straight to the citizens of this little town.

We're going to write more about in an upcoming article about this village and tour on our Ghana Travel Blog: 



This video was filmed with this drone: ",travel
46,-fRLfR8_GA,,"This Mascleta was in the honor of the Virgen de los Desamparados, the most important religious figure of the city. We love this particular Mascleta because the protective fence is not installed, which gives you a direct view into the plaza, so you can see better what's going on and it also gives you a better sense what a Mascleta is all about.

If you're curious, check out our Valencia Travel Blog, which has tons of information on the Valencian Mascleta: 



Also, I'm sorry about the dust specs on my camera sensor :) I guess I should have cleaned my camera inside and out after our For91days in Ghana. It was a bit dusty there.

Are you planning to visit or move to Valencia? Check out our Valencia Book with tons of information about this amazing city, available on Amazon: ",travel
47,EQQ8qprmtZY,"Virgen de los Desamparados - Morning Procession, Valencia 2019","The very last second last Sunday I decided to run out and do watch the morning procession of the Virgen de los Desamparados, the most important religious figure of Valencia. Thankfully I know all the little streets to cut through to make it on time and claim a perfect spot between the Plaza del Virgen and the main entrance of the Cathedral, where the virgin figure will be transported to from the Basilica.

It's pretty intense, because it gets very crowded, especially where I was standing. And on top of it, parents are trying to toss toddlers against the Virgin, check out the twins at the end of the video, it's pretty wild!!!

Read all about these festivities of the Virgen de los Desamparados on our Valencia Travel Blog: 



Filmed with this camera: ",travel
48,Gpdpj5nruAA,"Tamale Traditional Dance Group - Ghana, Africa","If you're in Tamale, you can see some West African Dance and Drumming at the Tamale Cultural Center on most weekdays around 4 or 5 pm. There is a group meeting on these days for practice and visitors are welcome to watch and to enjoy the performance.

And if you're got some rhythm in your blood you might can join them after the practice :) But we weren't one of them. We walked into the group by chance. We heard some drumming from the main street and followed the sound.

We're going to write about this Traditional Dance and Drumming Group soon on our Ghana Travel Blog: 



This video was filmed with this camera: ",travel
